epoch,batch,trial,tr_loss_strong,tr_loss,dataset,best_val_epoch,val_loss_strong,val_loss
0,170,-1,1.1333731963620548,1.1333731963620548,-1,,,
1,170,-1,0.8935794896549649,0.8935794896549649,-1,,,
2,170,-1,0.7501287183217835,0.7501287183217835,-1,,,
3,170,-1,0.7258737200533437,0.7258737200533437,-1,,,
4,170,-1,0.6978905559980382,0.6978905559980382,-1,,,
5,170,-1,,,-1,5.0,0.6284659926076325,0.6284659926076325
5,170,-1,,,0,5.0,0.6140256822109222,0.6140256822109222
5,170,-1,,,1,5.0,0.5225145816802979,0.5225145816802979
5,170,-1,,,2,5.0,0.639942637511662,0.639942637511662
5,170,-1,,,3,5.0,0.5592408605984279,0.5592408605984279
5,170,-1,,,4,5.0,0.515886949641364,0.515886949641364
5,170,-1,,,5,5.0,0.5518303854124886,0.5518303854124886
5,170,-1,,,6,5.0,0.4956444033554622,0.4956444033554622
5,170,-1,,,7,5.0,0.6772386644567762,0.6772386644567762
5,170,-1,,,8,5.0,0.8265996830804008,0.8265996830804008
5,170,-1,,,9,5.0,0.6226186198847634,0.6226186198847634
5,170,-1,,,10,5.0,0.4856600378240858,0.4856600378240858
5,170,-1,,,11,5.0,0.789109753710883,0.789109753710883
5,170,-1,,,12,5.0,0.8503115688051496,0.8503115688051496
5,170,-1,,,13,5.0,0.4596698582172394,0.4596698582172394
5,170,-1,,,14,5.0,0.7048025684697288,0.7048025684697288
5,170,-1,,,15,5.0,0.5208059070365769,0.5208059070365769
5,170,-1,,,16,5.0,0.61830415896007,0.61830415896007
5,170,-1,,,17,5.0,0.6062867449862617,0.6062867449862617
5,170,-1,,,18,5.0,0.666411646774837,0.666411646774837
5,170,-1,,,19,5.0,0.7819610834121704,0.7819610834121704
5,170,-1,,,20,5.0,0.688920048730714,0.688920048730714
5,170,-1,0.6774753933412987,0.6774753933412987,-1,,,
6,170,-1,0.6628258963774519,0.6628258963774519,-1,,,
7,170,-1,0.6581173131340429,0.6581173131340429,-1,,,
8,170,-1,0.6365831313077469,0.6365831313077469,-1,,,
9,170,-1,0.6339037960384324,0.6339037960384324,-1,,,
10,170,-1,,,-1,10.0,0.547410532223935,0.547410532223935
10,170,-1,,,0,10.0,0.6241630273205894,0.6241630273205894
10,170,-1,,,1,10.0,0.46966019698551725,0.46966019698551725
10,170,-1,,,2,10.0,0.5808852783271244,0.5808852783271244
10,170,-1,,,3,10.0,0.48924060591629576,0.48924060591629576
10,170,-1,,,4,10.0,0.4611280858516693,0.4611280858516693
10,170,-1,,,5,10.0,0.5123795143195561,0.5123795143195561
10,170,-1,,,6,10.0,0.45742706102984293,0.45742706102984293
10,170,-1,,,7,10.0,0.5346334683043616,0.5346334683043616
10,170,-1,,,8,10.0,0.7474586027009147,0.7474586027009147
10,170,-1,,,9,10.0,0.6041068775313241,0.6041068775313241
10,170,-1,,,10,10.0,0.35915568470954895,0.35915568470954895
10,170,-1,,,11,10.0,0.7454954215458461,0.7454954215458461
10,170,-1,,,12,10.0,0.8594707655055183,0.8594707655055183
10,170,-1,,,13,10.0,0.4343645232064383,0.4343645232064383
10,170,-1,,,14,10.0,0.4630476917539324,0.4630476917539324
10,170,-1,,,15,10.0,0.39772725318159374,0.39772725318159374
10,170,-1,,,16,10.0,0.4248539890561785,0.4248539890561785
10,170,-1,,,17,10.0,0.5522561286176954,0.5522561286176954
10,170,-1,,,18,10.0,0.6380879580974579,0.6380879580974579
10,170,-1,,,19,10.0,0.6529451268059867,0.6529451268059867
10,170,-1,,,20,10.0,0.48713391593524386,0.48713391593524386
10,170,-1,0.6174265050400071,0.6174265050400071,-1,,,
11,170,-1,0.6132426324643587,0.6132426324643587,-1,,,
12,170,-1,0.6151173308230283,0.6151173308230283,-1,,,
13,170,-1,0.6023556373969853,0.6023556373969853,-1,,,
14,170,-1,0.5968805446959379,0.5968805446959379,-1,,,
15,170,-1,,,-1,15.0,0.4865745327555809,0.4865745327555809
15,170,-1,,,0,15.0,0.5829491998468127,0.5829491998468127
15,170,-1,,,1,15.0,0.41490734262125833,0.41490734262125833
15,170,-1,,,2,15.0,0.610307514667511,0.610307514667511
15,170,-1,,,3,15.0,0.4087636534656797,0.4087636534656797
15,170,-1,,,4,15.0,0.4370436838694981,0.4370436838694981
15,170,-1,,,5,15.0,0.46359002590179443,0.46359002590179443
15,170,-1,,,6,15.0,0.41557092326028006,0.41557092326028006
15,170,-1,,,7,15.0,0.46501263763223377,0.46501263763223377
15,170,-1,,,8,15.0,0.6408416288239616,0.6408416288239616
15,170,-1,,,9,15.0,0.5612053743430546,0.5612053743430546
15,170,-1,,,10,15.0,0.29941939243248533,0.29941939243248533
15,170,-1,,,11,15.0,0.6678544495786939,0.6678544495786939
15,170,-1,,,12,15.0,0.8195832158838,0.8195832158838
15,170,-1,,,13,15.0,0.39898116673742023,0.39898116673742023
15,170,-1,,,14,15.0,0.34932232009513037,0.34932232009513037
15,170,-1,,,15,15.0,0.3226983222578253,0.3226983222578253
15,170,-1,,,16,15.0,0.3373685692037855,0.3373685692037855
15,170,-1,,,17,15.0,0.5284617053610938,0.5284617053610938
15,170,-1,,,18,15.0,0.6057763184819903,0.6057763184819903
15,170,-1,,,19,15.0,0.5069378188678196,0.5069378188678196
15,170,-1,,,20,15.0,0.38146992453507017,0.38146992453507017
15,170,-1,0.5957393294189408,0.5957393294189408,-1,,,
16,170,-1,0.5846956764396868,0.5846956764396868,-1,,,
17,170,-1,0.5759646604981339,0.5759646604981339,-1,,,
18,170,-1,0.5731499714460987,0.5731499714460987,-1,,,
19,170,-1,0.5686036879904786,0.5686036879904786,-1,,,
20,170,-1,,,-1,20.0,0.45762798691890677,0.45762798691890677
20,170,-1,,,0,20.0,0.5295273874487195,0.5295273874487195
20,170,-1,,,1,20.0,0.3877390282494681,0.3877390282494681
20,170,-1,,,2,20.0,0.56834733911923,0.56834733911923
20,170,-1,,,3,20.0,0.36913021228143145,0.36913021228143145
20,170,-1,,,4,20.0,0.4388818996293204,0.4388818996293204
20,170,-1,,,5,20.0,0.4590757904308183,0.4590757904308183
20,170,-1,,,6,20.0,0.4484916755131313,0.4484916755131313
20,170,-1,,,7,20.0,0.40539536092962536,0.40539536092962536
20,170,-1,,,8,20.0,0.5933419380869184,0.5933419380869184
20,170,-1,,,9,20.0,0.5201657797609057,0.5201657797609057
20,170,-1,,,10,20.0,0.29198095415319714,0.29198095415319714
20,170,-1,,,11,20.0,0.6022620286260333,0.6022620286260333
20,170,-1,,,12,20.0,0.7985624245234898,0.7985624245234898
20,170,-1,,,13,20.0,0.4284264062132154,0.4284264062132154
20,170,-1,,,14,20.0,0.28218945062586237,0.28218945062586237
20,170,-1,,,15,20.0,0.2750846802123955,0.2750846802123955
20,170,-1,,,16,20.0,0.3054688849619457,0.3054688849619457
20,170,-1,,,17,20.0,0.5646284967660904,0.5646284967660904
20,170,-1,,,18,20.0,0.5712219263826098,0.5712219263826098
20,170,-1,,,19,20.0,0.45594228165490286,0.45594228165490286
20,170,-1,,,20,20.0,0.31432377972773146,0.31432377972773146
20,170,-1,0.5588540509778853,0.5588540509778853,-1,,,
21,170,-1,0.5650105706432409,0.5650105706432409,-1,,,
22,170,-1,0.5543384816911485,0.5543384816911485,-1,,,
23,170,-1,0.5485592630871555,0.5485592630871555,-1,,,
24,170,-1,0.5439829409819598,0.5439829409819598,-1,,,
25,170,-1,,,-1,25.0,0.43169575491223205,0.43169575491223205
25,170,-1,,,0,25.0,0.5365370394928115,0.5365370394928115
25,170,-1,,,1,25.0,0.3827935733965465,0.3827935733965465
25,170,-1,,,2,25.0,0.5388418010302952,0.5388418010302952
25,170,-1,,,3,25.0,0.35405378469399046,0.35405378469399046
25,170,-1,,,4,25.0,0.4369743636676243,0.4369743636676243
25,170,-1,,,5,25.0,0.4199411581669535,0.4199411581669535
25,170,-1,,,6,25.0,0.4388616383075714,0.4388616383075714
25,170,-1,,,7,25.0,0.3571489006280899,0.3571489006280899
25,170,-1,,,8,25.0,0.5542051664420536,0.5542051664420536
25,170,-1,,,9,25.0,0.55250426701137,0.55250426701137
25,170,-1,,,10,25.0,0.23211437463760376,0.23211437463760376
25,170,-1,,,11,25.0,0.6446189454623631,0.6446189454623631
25,170,-1,,,12,25.0,0.8229206545012338,0.8229206545012338
25,170,-1,,,13,25.0,0.33008134577955517,0.33008134577955517
25,170,-1,,,14,25.0,0.2256061253803117,0.2256061253803117
25,170,-1,,,15,25.0,0.23698731245739119,0.23698731245739119
25,170,-1,,,16,25.0,0.2572311737707683,0.2572311737707683
25,170,-1,,,17,25.0,0.5379792153835297,0.5379792153835297
25,170,-1,,,18,25.0,0.5865095151322228,0.5865095151322228
25,170,-1,,,19,25.0,0.3584516559328352,0.3584516559328352
25,170,-1,,,20,25.0,0.261248841881752,0.261248841881752
25,170,-1,0.543772425393612,0.543772425393612,-1,,,
26,170,-1,0.5348878565587496,0.5348878565587496,-1,,,
27,170,-1,0.5246458548551415,0.5246458548551415,-1,,,
28,170,-1,0.5324950664364106,0.5324950664364106,-1,,,
29,170,-1,0.5217014676646182,0.5217014676646182,-1,,,
30,170,-1,,,-1,30.0,0.4259353912099689,0.4259353912099689
30,170,-1,,,0,30.0,0.514103461589132,0.514103461589132
30,170,-1,,,1,30.0,0.36837771960667204,0.36837771960667204
30,170,-1,,,2,30.0,0.5116068763392312,0.5116068763392312
30,170,-1,,,3,30.0,0.38621021594320026,0.38621021594320026
30,170,-1,,,4,30.0,0.41736858657428194,0.41736858657428194
30,170,-1,,,5,30.0,0.391109148306506,0.391109148306506
30,170,-1,,,6,30.0,0.42653473147324156,0.42653473147324156
30,170,-1,,,7,30.0,0.36623085183756693,0.36623085183756693
30,170,-1,,,8,30.0,0.5536339112690517,0.5536339112690517
30,170,-1,,,9,30.0,0.48648191349846975,0.48648191349846975
30,170,-1,,,10,30.0,0.28626675478049685,0.28626675478049685
30,170,-1,,,11,30.0,0.5250921334539141,0.5250921334539141
30,170,-1,,,12,30.0,0.8149582828794207,0.8149582828794207
30,170,-1,,,13,30.0,0.34023999316351755,0.34023999316351755
30,170,-1,,,14,30.0,0.23348153808287211,0.23348153808287211
30,170,-1,,,15,30.0,0.2816297502389976,0.2816297502389976
30,170,-1,,,16,30.0,0.2876491972378322,0.2876491972378322
30,170,-1,,,17,30.0,0.5233326724597386,0.5233326724597386
30,170,-1,,,18,30.0,0.5397840227399554,0.5397840227399554
30,170,-1,,,19,30.0,0.41482415795326233,0.41482415795326233
30,170,-1,,,20,30.0,0.2757272959819862,0.2757272959819862
30,170,-1,0.5199070161546183,0.5199070161546183,-1,,,
31,170,-1,0.5218699538742589,0.5218699538742589,-1,,,
32,170,-1,0.5130969075954448,0.5130969075954448,-1,,,
33,170,-1,0.5172721659928038,0.5172721659928038,-1,,,
34,170,-1,0.5129987739505824,0.5129987739505824,-1,,,
35,170,-1,,,-1,35.0,0.4051026998556593,0.4051026998556593
35,170,-1,,,0,35.0,0.5344449750014714,0.5344449750014714
35,170,-1,,,1,35.0,0.33972727613789694,0.33972727613789694
35,170,-1,,,2,35.0,0.5066117814608982,0.5066117814608982
35,170,-1,,,3,35.0,0.3430139145680836,0.3430139145680836
35,170,-1,,,4,35.0,0.4123221401657377,0.4123221401657377
35,170,-1,,,5,35.0,0.3980717286467552,0.3980717286467552
35,170,-1,,,6,35.0,0.39810686877795626,0.39810686877795626
35,170,-1,,,7,35.0,0.3095740133098194,0.3095740133098194
35,170,-1,,,8,35.0,0.5112419937338147,0.5112419937338147
35,170,-1,,,9,35.0,0.5153503545692989,0.5153503545692989
35,170,-1,,,10,35.0,0.2295421606728009,0.2295421606728009
