,sess_id,precision_background,recall_background,f1_background,rate_background_hand,rate_background_model,precision_full_flaring,recall_full_flaring,f1_full_flaring,rate_full_flaring_hand,rate_full_flaring_model,precision_half_flaring,recall_half_flaring,f1_half_flaring,rate_half_flaring_hand,rate_half_flaring_model
0,1.2.2L,0.9350107047437054,0.973257698541329,0.9537509136514811,0.7541111111111111,0.7849583333333333,0.8426921938221652,0.9488832092454718,0.8926406020827284,0.12498611111111112,0.14073611111111112,0.6865420560747664,0.42194141298104537,0.5226609746949337,0.12090277777777778,0.07430555555555556
0,1.2.28L,0.988578658793758,0.9339963977749087,0.9605127279976414,0.871375,0.8232638888888889,0.6915467625899281,0.8277717976318623,0.7535521802541746,0.03870833333333333,0.04633333333333333,0.5441474065395676,0.7891566265060241,0.6441404525772952,0.08991666666666667,0.13040277777777778
0,1.3.1L,0.9020964061608671,0.8284601028126125,0.8637116181719411,0.42418055555555556,0.38955555555555554,0.9505843932622895,0.8560482934757372,0.9008429367909562,0.35891666666666666,0.32322222222222224,0.589458413926499,0.780559646539028,0.6716808551180665,0.21690277777777778,0.2872222222222222
0,1.4.1L,0.9812718919965501,0.9391994339431922,0.959774814662818,0.8244166666666667,0.7890694444444445,0.8520222350009584,0.9025380710659898,0.8765529480865036,0.06840277777777778,0.07245833333333333,0.60320962888666,0.7793183879746015,0.6800474924594334,0.10718055555555556,0.13847222222222222
0,2.1.28R,0.9755944202510421,0.8703592130139406,0.9199771613793299,0.6685138888888889,0.5964027777777777,0.7786706349206349,0.8757112573914984,0.8243449035893045,0.12448611111111112,0.14,0.6406027714842721,0.8157541599570585,0.7176460171274784,0.207,0.2635972222222222
0,3.1.28R,0.9880661116293806,0.9274373420126555,0.9567922276643844,0.8406527777777778,0.7890694444444445,0.7272727272727273,0.9467762873215059,0.8226337061262522,0.06419444444444444,0.08356944444444445,0.528680479825518,0.7076339220551744,0.6052056675123734,0.09515277777777778,0.12736111111111112
0,3.2.28R,0.9701840008975654,0.8061952265523028,0.8806201944613483,0.5958888888888889,0.49516666666666664,0.8345351334765265,0.8295081967213115,0.8320140720696135,0.18215277777777777,0.18105555555555555,0.5677333562113933,0.8281709530066954,0.6736568854020751,0.22195833333333334,0.3237777777777778
0,1.1.28R,0.9918511553694048,0.980287798147053,0.9860355766551909,0.9864166666666667,0.9749166666666667,0.05918057663125948,0.5131578947368421,0.10612244896104991,0.0010555555555555555,0.009152777777777777,0.11072362685265912,0.14079822616407983,0.12396290868668361,0.012527777777777778,0.015930555555555555
0,1.1.28L,0.9715350786779359,0.8985827322126537,0.9336359883941537,0.8741388888888889,0.8085,0.3595933926302414,0.467382328654005,0.4064631956420523,0.016819444444444446,0.021861111111111112,0.4765023743245456,0.7413068398930073,0.5801146274131166,0.10904166666666666,0.1696388888888889
0,1.2.2R,0.9341550437885177,0.7457034663559569,0.8293587227957904,0.429125,0.34255555555555556,0.8239058339950488,0.9249606712113267,0.8715136242985946,0.2648611111111111,0.2973472222222222,0.6809503606279168,0.8012980529206191,0.7362385320604213,0.30601388888888886,0.36009722222222224
0,1.2.28R,0.9972798610023214,0.9788233320753135,0.9879654057824794,0.993625,0.9752361111111111,0.14521452145214522,1.0,0.2536023054533598,0.0006111111111111111,0.004208333333333333,0.10608108108108108,0.3783132530120482,0.16569920840906427,0.005763888888888889,0.020555555555555556
0,1.3.1R,0.804341941421688,0.7481619498438916,0.7752354613500498,0.2758055555555556,0.25654166666666667,0.8748323048027904,0.8187753735403674,0.8458761214504332,0.33184722222222224,0.3105833333333333,0.7105913305740046,0.7839923537116358,0.7454894304065632,0.39234722222222224,0.432875
0,1.4.1R,0.9299965796374415,0.7184758482190043,0.8106657655464743,0.7884166666666667,0.6090972222222222,0.506170341897633,0.8977395048439182,0.6473479947792453,0.03870833333333333,0.06865277777777777,0.3176450306008103,0.5921105487266007,0.4134758337787816,0.172875,0.32225
0,2.1.28L,0.9862392895803901,0.953287105183819,0.9694832716607187,0.7831527777777778,0.7569861111111111,0.8811424716068819,0.8960548885077187,0.8885361151558093,0.12145833333333333,0.1235138888888889,0.6272663877266388,0.785818287711124,0.6976473629289128,0.09538888888888888,0.1195
0,3.1.28L,0.9982014889998048,0.9967146019239068,0.9974574912950219,0.9976805555555556,0.9961944444444445,0.4175824175824176,0.7037037037037037,0.5241379309877383,0.00075,0.0012638888888888888,0.0,0.0,0.0,0.0015694444444444445,0.0025416666666666665
0,3.2.28L,0.9801604624207848,0.9600442314780686,0.9699980633801175,0.9420138888888889,0.9226805555555555,0.7577981651376147,0.7957610789980732,0.776315789423714,0.014416666666666666,0.01513888888888889,0.3895465713647532,0.5559451705451068,0.45810349351603513,0.043569444444444445,0.06218055555555556
0,6.1.1L,0.9989387593389178,0.9846851244856685,0.9917607310182979,0.9957638888888889,0.9815555555555555,0.4634146341463415,0.7524752475247525,0.5735849056132033,0.0028055555555555555,0.004555555555555556,0.028,0.27184466019417475,0.05077062554970413,0.0014305555555555556,0.013888888888888888
0,6.1.1R,0.9687520061629326,0.9662397951016488,0.9674942697732061,0.8676388888888888,0.8653888888888889,0.9209527096996893,0.795230998509687,0.8534868841473253,0.09319444444444444,0.08047222222222222,0.2619291944586968,0.3620567375886525,0.30395951171073965,0.03916666666666667,0.05413888888888889
0,6.1.2R,0.9460736075575674,0.775097552323519,0.8520934519304983,0.43068055555555557,0.3528472222222222,0.9039057403783431,0.8742852636144959,0.8888487982341361,0.35220833333333335,0.3406666666666667,0.5740245615625141,0.8103249744114637,0.6720072149969487,0.21711111111111112,0.3064861111111111
0,6.2.1L,0.9955477546127831,0.9785810469617909,0.986991490305032,0.9901666666666666,0.9732916666666667,0.15342960288808663,0.4497354497354497,0.22880215339409868,0.002625,0.007694444444444445,0.13513513513513514,0.35645472061657035,0.195974576231321,0.007208333333333333,0.01901388888888889
0,6.2.1R,0.9973010213503416,0.9851263558168577,0.9911763044451454,0.9898194444444445,0.9777361111111111,0.20350109409190373,1.0,0.33818181815371834,0.0012916666666666667,0.006347222222222222,0.32809773123909247,0.5875,0.42105263153296074,0.008888888888888889,0.015916666666666666
